OBJECTID;code;X;Y;workplaceP;;;
1;1;1;1;15279,6397;91677,8382;1;1
2;2;1;1;15279,6397;;0;1
3;3;1;1;15279,6397;;0;1
4;4;1;1;15279,6397;;0;1
5;5;1;1;15279,6397;;0;1
6;6;1;1;15279,6397;;0;1
7;7;1;1;7727,035936;54089,25155;1;2
8;8;1;1;7727,035936;;0;2
9;9;1;1;7727,035936;;0;2
10;10;1;1;7727,035936;;0;2
11;11;1;1;7727,035936;;0;2
12;12;1;1;7727,035936;;0;2
13;13;1;1;7727,035936;;0;2
14;14;1;1;7122,541414;21367,62424;1;3
15;15;1;1;7122,541414;;0;3
16;16;1;1;7122,541414;;0;3
17;17;1;1;7433,722055;37168,61028;1;4
18;18;1;1;7433,722055;;0;4
19;19;1;1;7433,722055;;0;4
20;20;1;1;7433,722055;;0;4
21;21;1;1;7433,722055;;0;4
22;22;1;1;28677,06117;114708,2447;1;5
23;23;1;1;28677,06117;;0;5
24;24;1;1;28677,06117;;0;5
25;25;1;1;28677,06117;;0;5
26;26;1;1;9948,42285;49742,11425;1;6
27;27;1;1;9948,42285;;0;6
28;28;1;1;9948,42285;;0;6
29;29;1;1;9948,42285;;0;6
30;30;1;1;9948,42285;;0;6
31;31;1;1;6403,206838;44822,44787;1;7
32;32;1;1;6403,206838;;0;7
33;33;1;1;6403,206838;;0;7
34;34;1;1;6403,206838;;0;7
35;35;1;1;6403,206838;;0;7
36;36;1;1;6403,206838;;0;7
37;37;1;1;6403,206838;;0;7
38;38;1;1;3896,49197;15585,96788;1;8
39;39;1;1;3896,49197;;0;8
40;40;1;1;3896,49197;;0;8
41;41;1;1;3896,49197;;0;8
42;42;1;1;4632,738279;18530,95312;1;9
43;43;1;1;4632,738279;;0;9
44;44;1;1;4632,738279;;0;9
45;45;1;1;4632,738279;;0;9
46;46;1;1;6502,547285;6502,547285;1;10
47;47;1;1;1234,83853;2469,67706;1;11
48;48;1;1;1234,83853;;0;11
49;49;1;1;3256,621853;19539,73112;1;12
50;50;1;1;3256,621853;;0;12
51;51;1;1;3256,621853;;0;12
52;52;1;1;3256,621853;;0;12
53;53;1;1;3256,621853;;0;12
54;54;1;1;3256,621853;;0;12
55;55;1;1;8458,125135;8458,125135;1;13
56;56;1;1;8092,304751;32369,219;1;14
57;57;1;1;8092,304751;;0;14
58;58;1;1;8092,304751;;0;14
59;59;1;1;8092,304751;;0;14
60;60;1;1;2704,261834;8112,785502;1;15
61;61;1;1;2704,261834;;0;15
62;62;1;1;2704,261834;;0;15
63;63;1;1;4562,975056;18251,90022;1;16
64;64;1;1;4562,975056;;0;16
65;65;1;1;4562,975056;;0;16
66;66;1;1;4562,975056;;0;16
67;67;1;1;1561,380291;7806,901455;1;17
68;68;1;1;1561,380291;;0;17
69;69;1;1;1561,380291;;0;17
70;70;1;1;1561,380291;;0;17
71;71;1;1;1561,380291;;0;17
72;72;1;1;3693,923407;25857,46385;1;18
73;73;1;1;3693,923407;;0;18
74;74;1;1;3693,923407;;0;18
75;75;1;1;3693,923407;;0;18
76;76;1;1;3693,923407;;0;18
77;77;1;1;3693,923407;;0;18
78;78;1;1;3693,923407;;0;18
79;79;1;1;2600,460059;13002,3003;1;19
80;80;1;1;2600,460059;;0;19
81;81;1;1;2600,460059;;0;19
82;82;1;1;2600,460059;;0;19
83;83;1;1;2600,460059;;0;19
84;84;1;1;3415,615553;10246,84666;1;20
85;85;1;1;3415,615553;;0;20
86;86;1;1;3415,615553;;0;20
87;87;1;1;1732,665953;8663,329765;1;21
88;88;1;1;1732,665953;;0;21
89;89;1;1;1732,665953;;0;21
